NATO	nato
ALFA	alfa
BRAVO	bravo
CHARLIE	charlie
DELTA	delta
ECHO	echo
FOXTROT	foxtrot
GOLF	golf
HOTEL	hotel
INDIA	india
JULIETT	juliett
KILO	kilo
LIMA	lima
MIKE	mike
NOVEMBER	november
OSCAR	oscar
PAPA	papa
QUEBEC	quebec
ROMEO	romeo
SIERRA	sierra
TANGO	tango
UNIFORM	uniform
VICTOR	victor
WHISKEY	whiskey
X-RAY	x-ray
YANKEE	yankee
ZULU	zulu
ZERO	zero
ONE	one
TWO	two
THREE	three
FOUR	four
FIVE	five
SIX	six
SEVEN	seven
EIGHT	eight
NINE	nine
